,Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
1628,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,293000.0,73000,5,Chandigarh
1629,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,215000.0,86000,8,Ludhiana
1630,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,221000.0,86000,8,Hyderabad
1631,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,200000.0,77000,9,Mohali
1632,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,287000.0,99000,10,Chennai
1633,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,182000.0,90000,10,Chennai
1634,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,198000.0,80000,9,Chennai
1635,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,214000.0,95343,8,Chennai
1636,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,270000.0,48000,6,Chennai
1637,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,260000.0,92000,6,Chennai
1638,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,201000.0,69000,9,Chennai
1639,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,296000.0,62000,5,Chennai
1640,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,264000.0,68000,6,Chennai
1641,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,250000.0,121000,6,Chennai
1642,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,213000.0,81510,9,Delhi
1643,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,344000.0,92000,9,Delhi
1644,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,320000.0,92000,9,Gurgaon
1645,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,237000.0,72000,8,Delhi
1646,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,348000.0,80000,9,Delhi
1647,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,240000.0,58666,8,Delhi
1648,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,216000.0,71000,9,Delhi
1649,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,281000.0,103000,5,Lucknow
1650,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,351000.0,74500,9,Delhi
1651,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,227000.0,23000,9,Delhi
1652,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,211000.0,91000,9,Delhi
1653,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,188000.0,110000,10,Delhi
1654,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,222000.0,45000,9,Delhi
1655,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,204000.0,53000,9,Hyderabad
1656,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,270000.0,125000,6,Delhi
1657,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,191000.0,98680,10,Delhi
1658,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,202000.0,130000,9,Delhi
1659,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,299000.0,30000,6,Delhi
1660,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,235000.0,78000,8,Delhi
1661,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,233000.0,92000,7,Gurgaon
1662,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,218000.0,87164,8,Hyderabad
1663,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,300000.0,70000,10,Hyderabad
1664,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,264000.0,67023,6,Hyderabad
1665,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,183000.0,82597,10,Hyderabad
1666,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,225000.0,63000,8,Hyderabad
1667,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,181000.0,69000,10,Hyderabad
1668,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,822000.0,88000,6,Hyderabad
1669,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,263000.0,83000,6,Hyderabad
1670,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,178000.0,112207,10,Hyderabad
1671,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,178000.0,91412,10,Hyderabad
1672,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,237000.0,83500,7,Hyderabad
1673,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,196000.0,98000,9,Hyderabad
1674,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,233000.0,119314,7,Hyderabad
1675,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,289000.0,81505,10,Hyderabad
1676,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,309000.0,22437,5,Hyderabad
1677,Maruti Suzuki,Ertiga,VDi[2012-2015],Manual,Diesel,287000.0,110000,10,Hyderabad
1678,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,212000.0,100072,8,Hyderabad
1679,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,210000.0,127483,8,Hyderabad
1680,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,259000.0,85427,6,Hyderabad
1681,Maruti Suzuki,Swift,VDi[2014-2018],Manual,Diesel,198000.0,81244,9,Hyderabad
